region,reef,siteID,author,year,taxon,species,studyID,lat,lon,lat_spec,lon_spec,spawnMode,studyType,geneMarkers
Exmouth Gulf,Bundegi,Bundegi2,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22Bu2,-22.0623,114.1425,-21.9,114.13,broadcast,genetic,
Exmouth Gulf,Exmouth,Exmouth1,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22Ex1,-22.0623,114.1425,-21.93,114.13,broadcast,genetic,
Exmouth Gulf,Exmouth,Exmouth2,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22Ex2,-22.0623,114.1425,-21.93,114.13,broadcast,genetic,
Exmouth Gulf,Exmouth,Exmouth3,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22Ex3,-22.0623,114.1425,-21.93,114.13,broadcast,genetic,
Exmouth Gulf,Exmouth,Exmouth4,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22Ex4,-22.0623,114.1425,-21.93,114.13,broadcast,genetic,
Exmouth Gulf,Learmonth,Learmonth1,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22Le1,-22.0623,114.1425,-22.23,114.09,broadcast,genetic,
Exmouth Gulf,Learmonth,Learmonth2,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22Le2,-22.0623,114.1425,-22.23,114.09,broadcast,genetic,
Exmouth Gulf,Learmonth,Learmonth3,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22Le3,-22.0623,114.1425,-22.23,114.09,broadcast,genetic,
Exmouth Gulf,Bundegi,North Bundegi,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26NB,,,-21.834,114.179,,,
Exmouth Gulf,Bundegi,South Bundegi,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26SB,,,-21.85,114.17,,,
Ningaloo,Ningaloo,Ningaloo 1,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19N1,-22.4714,113.455,-21.9076,113.968,broadcast,genetic,
Ningaloo,Ningaloo,Ningaloo 2,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19N2,-22.4714,113.455,-22.0079,113.9197,broadcast,genetic,
Ningaloo,CoralBay,Coral Bay,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19CB,-22.4714,113.455,-23.1404,113.753,broadcast,genetic,
Ningaloo,Cape,NIN1,Underwood,2009,Acropora spp.,Acropora tenuis,un09N1,-22.4714,113.455,-21.85,113.97,broadcast,genetic,
Ningaloo,TurquoiseBay,NIN3,Underwood,2009,Acropora spp.,Acropora tenuis,un09N3,-22.4714,113.455,-22.1,113.9,broadcast,genetic,
Ningaloo,CapeRange,NIN4,Underwood,2009,Acropora spp.,Acropora tenuis,un09N4,-22.4714,113.455,-22.3,113.85,broadcast,genetic,
Ningaloo,Winderabandi,NIN5,Underwood,2009,Acropora spp.,Acropora tenuis,un09N5,-22.4714,113.455,-22.5,113.8,broadcast,genetic,
Ningaloo,NingalooStation,NIN6,Underwood,2009,Acropora spp.,Acropora tenuis,un09N6,-22.4714,113.455,-22.7,113.78,broadcast,genetic,
Ningaloo,NorthReef,NIN7,Underwood,2009,Acropora spp.,Acropora tenuis,un09N7,-22.4714,113.455,-23,113.75,broadcast,genetic,
Ningaloo,CoralBay,NIN8,Underwood,2009,Acropora spp.,Acropora tenuis,un09N8,-22.4714,113.455,-23.2,113.73,broadcast,genetic,
Ningaloo,CapeRange,Ningaloo,Rosser et al,2016,Acropora spp.,Acropora tenuis,ros16N,-22.4714,113.455,-22.3,113.8,broadcast,genetic,
Ningaloo,NingalooStation,Ningaloo station,Adam et al,2022,Acropora spp.,Acropora digitifera,ad21NS,-22.4714,113.455,-23.44,113.78,broadcast,genetic,
Ningaloo,Gnaraloo,Gnaraloo,Adam et al,2022,Acropora spp.,Acropora digitifera,ad21GN,-22.4714,113.455,-23.82,113.52,broadcast,genetic,
Ningaloo,Quobba,Quobba,Adam et al,2022,Acropora spp.,Acropora digitifera,ad21Qu,-22.4714,113.455,-24.49,113.41,broadcast,genetic,
Ningaloo,CoralBay,Coral Bay 1,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22CB1,-22.4714,113.455,-23.1404,113.753,broadcast,genetic,
Ningaloo,CoralBay,Coral Bay 2,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22CB2,-22.4714,113.455,-23.1404,113.753,broadcast,genetic,
Ningaloo,Ningaloo,Ningaloo,Rosser et al,2020,Acropora spp.,Acropora tenuis,ro20Ni,-22.4714,113.455,-23.172,113.755,broadcast,genetic,microsatellite
Ningaloo,Tantabiddi,Tantabiddi,Whitaker,2006,Pocillopora spp.,Pocillopora damicornis,,-22.4714,113.455,,,broadcast,,
Ningaloo,Pilgramunna,Pilgramunna,Whitaker,2006,Pocillopora spp.,Pocillopora damicornis,,-22.4714,113.455,,,broadcast,,
Ningaloo,Winderabandi,Winderabandi,Whitaker,2006,Pocillopora spp.,Pocillopora damicornis,,-22.4714,113.455,,,broadcast,,
Ningaloo,CloatesA,CloatesA,Whitaker,2006,Pocillopora spp.,Pocillopora damicornis,wh06Ni,-22.4714,113.455,-23.82,113.52,broadcast,,
Ningaloo,CloatesB,CloatesB,Whitaker,2006,Pocillopora spp.,Pocillopora damicornis,,-22.4714,113.455,,,broadcast,,
Ningaloo,FalsePassage,FalsePassage,Whitaker,2006,Pocillopora spp.,Pocillopora damicornis,,-22.4714,113.455,,,broadcast,,
Ningaloo,CoralBay,CoralBay,Whitaker,2006,Pocillopora spp.,Pocillopora damicornis,,-22.4714,113.455,,,broadcast,,
Ningaloo,Tantabiddi,Tantabiddi,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26ta,-22.4714,113.455,-21.916,113.957,,,
Ningaloo,Mangrove,Mangrove,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26ma,-22.4714,113.455,-21.944,113.939,,,
Ningaloo,Lakeside,Lakeside,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26la,-22.4714,113.455,-22.035,113.901,,,
