Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution
un09DC1,un09DE2,0,y,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.4,116.55,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.5,116.7,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DC1,un09DE3,0.01,y,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.4,116.55,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.52,116.75,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DC1,un09DW1,0.01,y,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.4,116.55,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.58,116.55,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DC1,un09DW2,0.03,y,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.4,116.55,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.6,116.58,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DE1,un09DE2,0,n,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.48,116.65,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.5,116.7,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DE1,un09DE3,0,n,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.48,116.65,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.52,116.75,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DE1,un09DW1,0,n,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.48,116.65,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.58,116.55,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DE1,un09DW2,0,n,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.48,116.65,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.6,116.58,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DE2,un09DE3,0,n,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.5,116.7,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.52,116.75,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DE2,un09DW1,0,n,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.5,116.7,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.58,116.55,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
